# 형식: id|한국어 뜻|주석   — id 는 seg.py 의 분할 결과(segs.json)에 대응.
# 말투: 내레이션은 문어체(~다), 에밀리 창(진행자)·리 박사는 해요체.
225|그게 시민 사회가 AI 를 포기하면 안 된다고 생각하는 또 하나의 이유예요. 목소리가 필요해요.|give up on = ~을 포기하다
226|집단적 거버넌스가 필요해요. 하지만 목욕물 버리다 아기까지 버리진 맙시다.|throw the baby out with the bathwater = 나쁜 것을 버리다 좋은 것까지 버리다 (자막은 now 로 오기)
227|거버넌스가 'AI 를 멈추자'여선 안 돼요. 이건 질병 치료법을 찾고, 학생과 교사에게 힘을 주고, 노인을 도울 수 있는 기술이니까요.|the elderly = 노인
228|그게 여기서 '아기'예요. 하지만 지금 우리는 아주 혼란스러운 시기에 있어요.|messy period = 혼란스러운 시기
229|그래서 저는 과학자이자 교육자로서 제가 믿는 진실을 말할 개인적 책임을 느껴요.|speak the truth = 진실을 말하다
230|리는 평생 기계에게 보는 법을 가르쳤다. AI 에게 눈을 준 것이다.|
231|이제 제2막에서 그는 AI 에게 살아갈 세계를 주려 한다.|second act = 제2막(인생의 다음 단계)
232|현대 AI 혁명에 불을 붙이는 데 힘을 보탠 과학자이니, 못 할 거라 단정하지 않는 게 좋겠다.|put it past someone = ~가 못 할 거라 여기다 (부정문으로 씀)
233|이 모든 게 어디로 가나요? 5년 뒤 우리는 어디에 있을까요?|
234|여기서 제가 낙관주의자라는 걸 밝히게 되네요. 역사의 호는 길어요. 킹 목사의 말을 바꿔 말하자면요.|the arc of history is long = 역사의 호는 길다 (마틴 루서 킹의 명구) / paraphrase = 바꿔 말하다
235|저는 그 호가 선의를 향해 휜다고 믿어요.|bend towards = ~쪽으로 휘다 / benevolence = 선의·자비
236|우리가 완벽한 사람들과 공동체는 아니지만, 대다수에게 2026년 오늘은 기원전 2026년보다 나아요.|BC = 기원전 / the majority of = 대다수의
237|그건 우리의 온갖 어두운 이면에도 불구하고 우리 DNA 에 그게 있기 때문이라고 생각해요.|dark underbelly = 어두운 이면
238|우리는 자손이 더 나은 삶을 살길 바라고, 사회를 선의 쪽으로 움직일 도덕적 나침반을 집단적으로 갖고 있어요.|moral compass = 도덕적 나침반 / offspring = 자손
239|제 희망은 인류에게 있어요.|
240|UFO 에 푹 빠져 있다는 게 사실인가요?|be obsessed with = ~에 푹 빠지다
241|어릴 때요. 뭐랄까,|
242|기밀 해제되고 있는 문서들은 읽어 보셨어요?|declassify = 기밀을 해제하다
243|아니요. 어릴 때 그 꿈꾸는 듯한 호기심의 일부였다고 생각해요, 저 밖에 뭐가 있을까 하는.|dreamy curiosity = 꿈꾸는 듯한 호기심
244|외계인이 있다고 생각하세요?|
245|물리학 전공생이면 드레이크 방정식을 배워요.|Drake's equation = 드레이크 방정식(외계 문명 수 추정식)
246|드레이크 방정식은 외계 생명체가 있을 확률을 계산해요. 그러니 잠재적인 숫자가 있죠.|compute the probability = 확률을 계산하다
247|와. 좋아요. 좋아하는 SF 영화는요?|
248|「콘택트」요. 단연 제일 좋아해요.|by far = 단연
249|그럼 그렇죠.|There you go = 역시·그럴 줄 알았다
250|지능은… 저 밖 어딘가에 있어요. 네.|somewhere out there = 저 밖 어딘가에
